"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","79423","@Web Client App for ZARA COAT 3","","2026-06-26","passed","2026-06-26","","clientAppPOM.spec.js","",""
"","95589","@Web Client App for Adidas Orignals","","2026-06-26","broken","2026-06-26","","clientAppPOM.spec.js","",""
